timestamp,voltage,current,power,deltaV
7251,0.3320,0.3000,0.0996,0.1160
7284,0.4160,0.3000,0.1248,0.0840
7317,0.5120,0.3000,0.1536,0.0960
7350,0.6120,0.1000,0.0612,0.1000
7383,0.7160,-0.1000,-0.0716,0.1040
7416,0.7800,0.2000,0.1560,0.0640
7449,0.8680,-0.1000,-0.0868,0.0880
7482,0.9520,0.2000,0.1904,0.0840
7515,1.0400,0.0000,0.0000,0.0880
7548,1.1120,0.0000,0.0000,0.0720
7581,1.1680,0.0000,0.0000,0.0560
7614,1.2440,0.1000,0.1244,0.0760
7647,1.3200,0.0000,0.0000,0.0760
7680,1.3760,0.0000,0.0000,0.0560
7713,1.4360,0.1000,0.1436,0.0600
7746,1.4880,-0.1000,-0.1488,0.0520
7779,1.5560,0.0000,0.0000,0.0680
7812,1.6080,0.1000,0.1608,0.0520
7845,1.6560,0.1000,0.1656,0.0480
7878,1.6960,-0.1000,-0.1696,0.0400
7911,1.7560,0.1000,0.1756,0.0600
24601,0.4840,0.1000,0.0484,0.0920
24634,0.5920,0.0000,0.0000,0.1080
24667,0.6800,0.0000,0.0000,0.0880
24700,0.7680,-0.1000,-0.0768,0.0880
24733,0.8440,0.2000,0.1688,0.0760
24766,0.9400,0.1000,0.0940,0.0960
24799,1.0080,0.1000,0.1008,0.0680
24832,1.0840,0.2000,0.2168,0.0760
24865,1.1520,0.1000,0.1152,0.0680
24898,1.2280,0.2000,0.2456,0.0760
24931,1.2920,-0.1000,-0.1292,0.0640
24964,1.3560,0.3000,0.4068,0.0640
24997,1.4120,0.1000,0.1412,0.0560
25030,1.4760,-0.2000,-0.2952,0.0640
25063,1.5360,-0.1000,-0.1536,0.0600
25096,1.5880,0.2000,0.3176,0.0520
25129,1.6320,0.1000,0.1632,0.0440
25162,1.6920,0.4000,0.6768,0.0600
25195,1.7360,0.0000,0.0000,0.0440
32325,0.2120,0.2000,0.0424,0.0000
32358,0.3120,0.3000,0.0936,0.1000
32391,0.4280,0.3000,0.1284,0.1160
32424,0.5160,0.2000,0.1032,0.0880
32457,0.6080,0.3000,0.1824,0.0920
32490,0.7000,0.0000,0.0000,0.0920
32523,0.8000,0.1000,0.0800,0.1000
32556,0.8720,0.2000,0.1744,0.0720
32589,0.9520,0.4000,0.3808,0.0800
32622,1.0280,0.3000,0.3084,0.0760
32655,1.1200,0.1000,0.1120,0.0920
32688,1.1760,-0.1000,-0.1176,0.0560
32721,1.2440,0.3000,0.3732,0.0680
32754,1.3040,0.0000,0.0000,0.0600
32787,1.3840,0.0000,0.0000,0.0800
32820,1.4320,0.2000,0.2864,0.0480
32853,1.4880,0.1000,0.1488,0.0560
32886,1.5480,0.1000,0.1548,0.0600
32919,1.6080,0.2000,0.3216,0.0600
32952,1.6520,0.1000,0.1652,0.0440
32985,1.7000,0.0000,0.0000,0.0480
33018,1.7520,-0.4000,-0.7008,0.0520
63544,0.2840,0.2000,0.0568,0.0920
63577,0.3840,0.1000,0.0384,0.1000
63610,0.4960,0.1000,0.0496,0.1120
63643,0.5960,0.1000,0.0596,0.1000
63676,0.6760,0.3000,0.2028,0.0800
63709,0.7640,0.1000,0.0764,0.0880
63742,0.8560,0.1000,0.0856,0.0920
63775,0.9440,0.1000,0.0944,0.0880
63808,1.0080,0.0000,0.0000,0.0640
63841,1.0840,0.1000,0.1084,0.0760
63874,1.1600,0.0000,0.0000,0.0760
63907,1.2400,0.2000,0.2480,0.0800
63940,1.3000,0.1000,0.1300,0.0600
63973,1.3560,0.2000,0.2712,0.0560
64006,1.4160,-0.1000,-0.1416,0.0600
64039,1.4920,0.0000,0.0000,0.0760
64072,1.5360,0.0000,0.0000,0.0440
64105,1.6080,-0.2000,-0.3216,0.0720
64138,1.6400,0.2000,0.3280,0.0320
64171,1.7080,0.4000,0.6832,0.0680
64204,1.7480,-0.1000,-0.1748,0.0400
76168,0.2440,0.2000,0.0488,0.1240
76201,0.3360,-0.1000,-0.0336,0.0920
76234,0.4400,0.0000,0.0000,0.1040
76267,0.5360,0.0000,0.0000,0.0960
76300,0.6400,-0.1000,-0.0640,0.1040
76333,0.7160,0.0000,0.0000,0.0760
76366,0.8040,0.0000,0.0000,0.0880
76399,0.8880,0.4000,0.3552,0.0840
76432,0.9800,0.0000,0.0000,0.0920
76465,1.0480,0.1000,0.1048,0.0680
76498,1.1160,-0.1000,-0.1116,0.0680
76531,1.1920,0.0000,0.0000,0.0760
76564,1.2680,-0.1000,-0.1268,0.0760
76597,1.3280,0.2000,0.2656,0.0600
76630,1.3880,0.0000,0.0000,0.0600
76663,1.4440,0.1000,0.1444,0.0560
76696,1.5120,0.0000,0.0000,0.0680
76729,1.5680,0.1000,0.1568,0.0560
76762,1.6160,-0.1000,-0.1616,0.0480
76795,1.6640,0.1000,0.1664,0.0480
76828,1.7240,0.0000,0.0000,0.0600
87966,0.2920,0.2000,0.0584,0.1000
87999,0.4040,0.0000,0.0000,0.1120
88032,0.5040,0.0000,0.0000,0.1000
88065,0.5960,-0.1000,-0.0596,0.0920
88098,0.6800,-0.1000,-0.0680,0.0840
88131,0.7800,0.1000,0.0780,0.1000
88164,0.8560,-0.1000,-0.0856,0.0760
88197,0.9400,0.0000,0.0000,0.0840
88230,1.0080,0.2000,0.2016,0.0680
88263,1.0960,-0.1000,-0.1096,0.0880
88296,1.1560,0.1000,0.1156,0.0600
88329,1.2280,0.1000,0.1228,0.0720
88362,1.2920,-0.2000,-0.2584,0.0640
88395,1.3680,0.2000,0.2736,0.0760
88428,1.4160,0.1000,0.1416,0.0480
88461,1.4760,0.0000,0.0000,0.0600
88494,1.5440,0.1000,0.1544,0.0680
88527,1.6000,0.1000,0.1600,0.0560
88560,1.6360,0.0000,0.0000,0.0360
88593,1.6920,0.1000,0.1692,0.0560
88626,1.7440,0.2000,0.3488,0.0520
105705,0.2960,0.1000,0.0296,0.1160
105738,0.4080,0.0000,0.0000,0.1120
105771,0.4840,0.1000,0.0484,0.0760
105804,0.5840,0.2000,0.1168,0.1000
105837,0.6840,0.1000,0.0684,0.1000
105870,0.7800,-0.3000,-0.2340,0.0960
105903,0.8640,0.2000,0.1728,0.0840
105936,0.9280,0.0000,0.0000,0.0640
105969,1.0160,-0.3000,-0.3048,0.0880
106002,1.1000,0.4000,0.4400,0.0840
106035,1.1680,0.3000,0.3504,0.0680
106068,1.2360,0.1000,0.1236,0.0680
106101,1.2960,0.3000,0.3888,0.0600
106134,1.3720,0.5000,0.6860,0.0760
106167,1.4240,-0.1000,-0.1424,0.0520
106200,1.4800,0.3000,0.4440,0.0560
106233,1.5280,0.2000,0.3056,0.0480
106266,1.6000,0.2000,0.3200,0.0720
106299,1.6480,0.3000,0.4944,0.0480
106332,1.6960,0.0000,0.0000,0.0480
106365,1.7360,0.1000,0.1736,0.0400
