timestamp,voltage,current,power,deltaV
8129,0.2480,0.3000,0.0744,0.0520
8162,0.2560,0.0000,0.0000,0.0080
8195,0.2760,-0.1000,-0.0276,0.0200
8228,0.3040,0.2000,0.0608,0.0280
8261,0.3320,0.2000,0.0664,0.0280
8294,0.3560,0.2000,0.0712,0.0240
8327,0.3720,0.2000,0.0744,0.0160
8360,0.3880,0.3000,0.1164,0.0160
8393,0.4200,0.1000,0.0420,0.0320
8426,0.4480,0.3000,0.1344,0.0280
8459,0.4600,0.1000,0.0460,0.0120
8492,0.4680,0.1000,0.0468,0.0080
8525,0.4960,0.2000,0.0992,0.0280
8558,0.5200,0.2000,0.1040,0.0240
8591,0.5480,-0.1000,-0.0548,0.0280
8624,0.5520,0.1000,0.0552,0.0040
8657,0.5800,0.2000,0.1160,0.0280
8690,0.5960,0.2000,0.1192,0.0160
8723,0.6320,-0.2000,-0.1264,0.0360
8756,0.6640,0.1000,0.0664,0.0320
8789,0.6520,0.2000,0.1304,-0.0120
23301,0.1400,0.2000,0.0280,0.0200
23334,0.1840,0.1000,0.0184,0.0440
23367,0.1920,0.2000,0.0384,0.0080
23400,0.2200,0.2000,0.0440,0.0280
23433,0.2520,0.0000,0.0000,0.0320
23466,0.2840,0.1000,0.0284,0.0320
23499,0.2920,0.4000,0.1168,0.0080
23532,0.3160,0.2000,0.0632,0.0240
23565,0.3480,0.1000,0.0348,0.0320
23598,0.3800,0.3000,0.1140,0.0320
23631,0.3800,0.3000,0.1140,0.0000
23664,0.4120,0.3000,0.1236,0.0320
23697,0.4360,0.1000,0.0436,0.0240
23730,0.4720,0.0000,0.0000,0.0360
23763,0.4760,0.1000,0.0476,0.0040
23796,0.5000,0.3000,0.1500,0.0240
23829,0.5240,0.1000,0.0524,0.0240
23862,0.5600,0.3000,0.1680,0.0360
23895,0.5600,0.1000,0.0560,0.0000
23928,0.5880,0.2000,0.1176,0.0280
23961,0.6080,0.1000,0.0608,0.0200
31124,0.1200,0.2000,0.0240,0.0320
31157,0.1280,0.3000,0.0384,0.0080
31190,0.1640,0.1000,0.0164,0.0360
31223,0.2000,0.3000,0.0600,0.0360
31256,0.2200,0.1000,0.0220,0.0200
31289,0.2280,0.1000,0.0228,0.0080
31322,0.2600,0.0000,0.0000,0.0320
31355,0.3000,0.2000,0.0600,0.0400
31388,0.3200,0.3000,0.0960,0.0200
31421,0.3200,0.1000,0.0320,0.0000
31454,0.3560,0.3000,0.1068,0.0360
31487,0.3920,0.4000,0.1568,0.0360
31520,0.4120,0.0000,0.0000,0.0200
31553,0.4160,0.4000,0.1664,0.0040
31586,0.4480,0.2000,0.0896,0.0320
31619,0.4800,0.1000,0.0480,0.0320
31652,0.4960,0.1000,0.0496,0.0160
31685,0.5080,-0.1000,-0.0508,0.0120
31718,0.5360,0.3000,0.1608,0.0280
31751,0.5720,0.1000,0.0572,0.0360
31784,0.5840,0.2000,0.1168,0.0120
44506,0.1400,0.0000,0.0000,0.0440
44539,0.1440,0.2000,0.0288,0.0040
44572,0.1760,0.2000,0.0352,0.0320
44605,0.1920,0.4000,0.0768,0.0160
44638,0.2280,0.2000,0.0456,0.0360
44671,0.2440,0.1000,0.0244,0.0160
44704,0.2640,0.1000,0.0264,0.0200
44737,0.2880,0.2000,0.0576,0.0240
44770,0.3240,0.5000,0.1620,0.0360
44803,0.3360,0.2000,0.0672,0.0120
44836,0.3560,0.1000,0.0356,0.0200
44869,0.3760,0.3000,0.1128,0.0200
44902,0.4120,0.1000,0.0412,0.0360
44935,0.4240,-0.1000,-0.0424,0.0120
44968,0.4480,0.2000,0.0896,0.0240
45001,0.4640,0.2000,0.0928,0.0160
45034,0.5040,0.1000,0.0504,0.0400
45067,0.5200,0.0000,0.0000,0.0160
45100,0.5280,0.3000,0.1584,0.0080
45133,0.5480,0.2000,0.1096,0.0200
45166,0.5800,0.0000,0.0000,0.0320
61453,0.1280,0.3000,0.0384,0.0320
61486,0.1360,0.4000,0.0544,0.0080
61519,0.1720,0.1000,0.0172,0.0360
61552,0.1880,0.3000,0.0564,0.0160
61585,0.2200,0.0000,0.0000,0.0320
61618,0.2280,0.4000,0.0912,0.0080
61651,0.2720,0.2000,0.0544,0.0440
