timestamp,voltage,current,power,deltaV
7265,3.1240,-0.1000,-0.3124,0.0200
7298,3.1120,-0.2000,-0.6224,-0.0120
7331,3.1000,-0.2000,-0.6200,-0.0120
7364,3.1240,0.0000,0.0000,0.0240
7397,3.1160,-0.2000,-0.6232,-0.0080
7430,3.1040,-0.1000,-0.3104,-0.0120
7463,3.1240,-0.2000,-0.6248,0.0200
7496,3.1120,-0.2000,-0.6224,-0.0120
7529,3.1120,-0.1000,-0.3112,0.0000
7562,3.1120,-0.2000,-0.6224,0.0000
14997,3.1240,-0.1000,-0.3124,0.0200
15030,3.1120,-0.1000,-0.3112,-0.0120
15063,3.1000,0.0000,0.0000,-0.0120
15096,3.1200,-0.1000,-0.3120,0.0200
15129,3.1160,0.0000,0.0000,-0.0040
15162,3.1040,0.1000,0.3104,-0.0120
15195,3.1240,0.0000,0.0000,0.0200
15228,3.1120,-0.2000,-0.6224,-0.0120
15261,3.1120,-0.2000,-0.6224,0.0000
15294,3.1120,0.1000,0.3112,0.0000
15558,3.1240,-0.2000,-0.6248,0.0240
15591,3.1160,-0.1000,-0.3116,-0.0080
15624,3.1000,0.0000,0.0000,-0.0160
15657,3.1280,-0.1000,-0.3128,0.0280
15690,3.1120,0.1000,0.3112,-0.0160
15723,3.1000,-0.1000,-0.3100,-0.0120
15756,3.1240,-0.1000,-0.3124,0.0240
15789,3.1120,0.0000,0.0000,-0.0120
15822,3.1040,0.0000,0.0000,-0.0080
15855,3.1120,-0.1000,-0.3112,0.0080
24551,3.1280,-0.3000,-0.9384,0.0240
24584,3.1120,0.0000,0.0000,-0.0160
24617,3.1000,0.1000,0.3100,-0.0120
24650,3.1280,0.0000,0.0000,0.0280
24683,3.1120,0.1000,0.3112,-0.0160
24716,3.1040,0.0000,0.0000,-0.0080
24749,3.1160,0.0000,0.0000,0.0120
24782,3.1160,-0.3000,-0.9348,0.0000
52521,3.1200,0.1000,0.3120,0.0200
52554,3.1120,0.1000,0.3112,-0.0080
52587,3.1040,0.0000,0.0000,-0.0080
52620,3.1240,-0.3000,-0.9372,0.0200
52653,3.1120,-0.4000,-1.2448,-0.0120
52686,3.1040,0.0000,0.0000,-0.0080
52719,3.1120,0.0000,0.0000,0.0080
53082,3.1240,-0.2000,-0.6248,0.0200
53115,3.1120,0.2000,0.6224,-0.0120
53148,3.1040,-0.5000,-1.5520,-0.0080
53181,3.1240,-0.2000,-0.6248,0.0200
53214,3.1080,-0.3000,-0.9324,-0.0160
53247,3.1040,-0.2000,-0.6208,-0.0040
53280,3.1120,0.0000,0.0000,0.0080
53313,3.1120,-0.1000,-0.3112,0.0000
53544,3.1240,0.1000,0.3124,0.0200
53577,3.1080,-0.1000,-0.3108,-0.0160
53610,3.1040,0.1000,0.3104,-0.0040
53643,3.1240,-0.2000,-0.6248,0.0200
53676,3.1120,0.1000,0.3112,-0.0120
53709,3.1080,0.0000,0.0000,-0.0040
53742,3.1200,-0.1000,-0.3120,0.0120
54105,3.1280,0.0000,0.0000,0.0240
54138,3.1040,-0.2000,-0.6208,-0.0240
54171,3.1040,-0.1000,-0.3104,0.0000
54204,3.1240,0.1000,0.3124,0.0200
54237,2.9720,0.0000,0.0000,-0.1520
54270,3.1040,-0.1000,-0.3104,0.1320
54303,3.1240,-0.2000,-0.6248,0.0200
54336,3.1040,0.0000,0.0000,-0.0200
54369,3.1200,-0.1000,-0.3120,0.0160
54402,3.1080,-0.1000,-0.3108,-0.0120
54435,3.1080,-0.1000,-0.3108,0.0000
54468,3.1200,-0.2000,-0.6240,0.0120
69452,3.1960,-0.3000,-0.9588,0.0840
69485,3.1120,-0.1000,-0.3112,-0.0840
69518,3.1080,0.1000,0.3108,-0.0040
69551,3.1200,-0.1000,-0.3120,0.0120
69584,3.1120,0.1000,0.3112,-0.0080
78661,3.1240,-0.1000,-0.3124,0.0200
78694,3.1120,-0.2000,-0.6224,-0.0120
78727,3.1080,-0.1000,-0.3108,-0.0040
78760,3.1200,-0.2000,-0.6240,0.0120
84469,3.1240,-0.3000,-0.9372,0.0200
84502,3.1120,0.0000,0.0000,-0.0120
84535,3.1080,-0.1000,-0.3108,-0.0040
84568,3.1200,0.1000,0.3120,0.0120
88033,3.1240,-0.3000,-0.9372,0.0200
88066,3.1080,0.1000,0.3108,-0.0160
88099,3.1080,-0.1000,-0.3108,0.0000
88132,3.1160,0.0000,0.0000,0.0080
88165,3.1160,-0.3000,-0.9348,0.0000
131461,3.1240,-0.2000,-0.6248,0.0200
131494,3.1120,0.0000,0.0000,-0.0120
131527,3.1080,-0.2000,-0.6216,-0.0040
131560,3.1160,-0.1000,-0.3116,0.0080
132583,3.1240,-0.2000,-0.6248,0.0200
132616,3.1160,0.1000,0.3116,-0.0080
132649,3.1080,-0.1000,-0.3108,-0.0080
132682,3.1200,0.2000,0.6240,0.0120
149611,3.1240,-0.2000,-0.6248,0.0200
149644,3.1120,-0.1000,-0.3112,-0.0120
149677,3.1080,0.0000,0.0000,-0.0040
149710,3.1200,0.0000,0.0000,0.0120
180499,3.1240,-0.1000,-0.3124,0.0200
180532,3.1160,-0.1000,-0.3116,-0.0080
180565,3.1080,-0.2000,-0.6216,-0.0080
180598,3.1200,0.1000,0.3120,0.0120
205678,3.1240,-0.1000,-0.3124,0.0200
205711,3.1160,-0.1000,-0.3116,-0.0080
205744,3.1120,-0.1000,-0.3112,-0.0040
205777,3.1200,0.1000,0.3120,0.0080
